adult,backdrop_path,id,media_type,name,original_language,original_name,first_air_date,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,origin_country
false,/gmECX1DvFgdUPjtio2zaL8BPYPu.jpg,95479,tv,Jujutsu Kaisen,ja,呪術廻戦,2020-10-03,,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",621.975,/3yFHMtdhriig4sm1w8oMQfA2gFN.jpg,,,,8.552,2638,[JP]
false,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,502356,movie,,en,,,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",1381.749,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,false,7.803,5660,
false,/xcXALwBjdHIjrESpGVhghqj8fGT.jpg,872585,movie,,en,,,Oppenheimer,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,351.805,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,false,8.8,20,
false,/fjWcAbHRxCSR4kLGvsPEhNjR2ts.jpg,921636,movie,,en,,,The Out-Laws,"A straight-laced bank manager is about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",1672.63,/5dliMQ2ODbGNoq0hlefdnuXQxMw.jpg,2023-07-07,The Out-Laws,false,6.308,221,
false,/h8gHn0OzBoaefsYseUByqsmEDMY.jpg,603692,movie,,en,,,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1495.281,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,false,7.857,3696,
false,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,298618,movie,,en,,,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",772.114,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,2023-06-13,The Flash,false,6.703,823,
false,/qtfMr08KQsWXnCHY0a96N8NpQ2l.jpg,30984,tv,Bleach,ja,BLEACH,2004-10-05,,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",338.845,/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,,,,8.4,1538,[JP]
false,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,76600,movie,,en,,,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",739.871,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,false,7.674,9151,
false,/foGkPxpw9h8zln81j63mix5B7m8.jpg,71912,tv,The Witcher,en,The Witcher,2019-12-20,,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",780.634,/cZ0d3rtvXPVvuiX22sP79K3Hmjz.jpg,,,,8.163,4883,[US]
false,/cSYLX73WskxCgvpN3MtRkYUSj1T.jpg,976573,movie,,en,,,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1339.483,/8riWcADI1ekEiBguVB9vkilhiQm.jpg,2023-06-14,Elemental,false,7.5,489,
